k值, 原始算法时间 (秒), 优化算法时间 (秒), 性能提升百分比
1, 0.000000, 0.000000, 0.00%
2, 0.000000, 0.000000, 0.00%
3, 0.000000, 0.000000, 0.00%
4, 0.001660, 0.000000, 0.00%
5, 0.001068, 0.003165, -196.22%
6, 0.005062, 0.006291, -24.28%
7, 0.017448, 0.039233, -124.86%
8, 0.069212, 0.141426, -104.34%
9, 0.284312, 0.499298, -75.62%
10, 1.388737, 1.897906, -36.66%
11, 7.330940, 8.072891, -10.12%
12, 25.266692, 27.430808, -8.57%
